Coin,Date,Min,Max,Average,StandardDeviation
ada,2019-04-07,0.078556669756591,0.080510453537767,0.07964529949020474,0.000520719369258728
ada,2019-04-08,0.073553673810818,0.081406084237809,0.07791596344116257,0.0017833694139671623
ada,2019-04-09,0.071743663872767,0.077183778590684,0.07485046159335629,0.0010652913841424677
ada,2019-04-10,0.073762130808895,0.081295405626915,0.07729480415712993,0.0018895067167027742
ada,2019-04-11,0.066615,0.080150276580192,0.0748201979996519,0.002624976796232018
ada,2019-04-12,0.070995,0.075185530985446,0.07335103557503844,0.0011281318820765469
ada,2019-04-13,0.072983262179615,0.075167959184037,0.0739769415055537,0.0005142794315660024
ada,2019-04-14,0.071835574038381,0.073820447084856,0.07284174748207328,0.0004479631993782219
ada,2019-04-15,0.071586671254138,0.075510420662286,0.0738272459344361,0.0010012862489231444
ada,2019-04-16,0.071279962270269,0.073843538313168,0.07257004176611523,0.0005715810458337063
ada,2019-04-17,0.07229712771606,0.074256140382809,0.07318064936848367,0.00042256470451091966
ada,2019-04-18,0.072892,0.073941508987935,0.07339636578594251,0.00023173468357514987
ada,2019-04-19,0.069484,0.073114,0.07055911983471078,0.0008977217618353246
ada,2019-04-20,0.066838,0.070744,0.06913165560165978,0.0010451018898786628
ada,2019-04-21,0.063554,0.069053,0.06592788477366257,0.0016694302430820785
ada,2019-04-22,0.063969,0.069171,0.06642351101321586,0.001371602633024005
ada,2019-04-23,0.066288,0.071138,0.06922129411764703,0.0012892307513791082
ada,2019-04-24,0.061314,0.067685,0.06491514583333334,0.0013703887767950898
ada,2019-04-25,0.063401,0.06794,0.06538207883817428,0.0011042954297986341
ada,2019-04-26,0.060169,0.065005,0.06168627916666668,0.0007930965901027751
ada,2019-04-27,0.061355,0.064269,0.06244641666666665,0.0008342092671439845
ada,2019-04-28,0.060646,0.06371,0.062361521008403344,0.0007085367790071014
ada,2019-04-29,0.05757,0.061808,0.06002078333333332,0.001294090524804544
ada,2019-04-30,0.057424,0.060475,0.05903898755186725,0.0009166211337022633
ada,2019-05-01,0.059711,0.062467,0.060880545833333334,0.0006240482336320602
ada,2019-05-02,0.060392,0.061705,0.060925491304347816,0.00025992302775854986
ada,2019-05-03,0.060685,0.063682,0.06220011666666663,0.000789666809307709
ada,2019-05-04,0.059119,0.064091,0.06122067965367972,0.0013196368224877976
ada,2019-05-05,0.058298,0.060138,0.05923794791666668,0.0003672429336111395
ada,2019-05-06,0.056596,0.060897,0.058382196652719646,0.0011241461841486919
ada,2019-05-07,0.057713,0.060926,0.05922772499999998,0.0009285027011493713
ada,2019-05-08,0.055813,0.058235,0.05721612500000002,0.00043679426054112834
ada,2019-05-09,0.053273,0.057668,0.05586701666666662,0.001265777366438852
ada,2019-05-10,0.052913,0.05741,0.05574596250000001,0.001175560229320653
ada,2019-05-11,0.055617,0.068174,0.06116799583333335,0.003839168509692686
ada,2019-05-12,0.060878,0.069866,0.06491102880658435,0.0024171701993928735
ada,2019-05-13,0.061926,0.067679,0.0648065254237288,0.0015090904697743696
ada,2019-05-14,0.064058,0.072971,0.06940220000000001,0.002037379761687382
ada,2019-05-15,0.07036,0.081985,0.07721210975609753,0.0022042700965819537
ada,2019-05-16,0.076135,0.089417,0.08198963485477177,0.0033199810427064695
ada,2019-05-17,0.068573,0.080593,0.07222032743362837,0.0032807989690147167
ada,2019-05-18,0.071291,0.075995,0.07285326666666665,0.0010192128967437945
ada,2019-05-19,0.070746,0.077486,0.07529490833333331,0.0017546999149704254
ada,2019-05-20,0.071804,0.078662,0.07477727983539091,0.0014067173517449685
ada,2019-05-21,0.073829,0.076954,0.07555816666666669,0.0006453075411380035
ada,2019-05-22,0.070639,0.076424,0.07452152719665273,0.0013197778778074034
ada,2019-05-23,0.066703,0.071192,0.06934643568464735,0.0010055219970380716
ada,2019-05-24,0.070075,0.074108,0.07256052762430944,0.0010486538045146568
ada,2019-05-25,0.071011,0.07328,0.07214545137157105,0.0005877145584795051
ada,2019-05-26,0.070006,0.077396,0.07179503740648381,0.0013216227126569599
ada,2019-05-27,0.075776,0.08262,0.07757769423558895,0.0015194031877217322
ada,2019-05-28,0.078202,0.082392,0.08025753749999998,0.0011412660617024332
ada,2019-05-29,0.077267,0.083338,0.0810427931034483,0.0015660975381711492
ada,2019-05-30,0.073648,0.086909,0.08359258808933005,0.0026402465735774483
ada,2019-05-31,0.073929,0.078795,0.07669542569269516,0.0010728868740358466
ada,2019-06-01,0.077415,0.082181,0.0795632121212121,0.0008616084356706051
ada,2019-06-02,0.080947,0.086973,0.08410687469287473,0.0012337844106703486
ada,2019-06-03,0.080969,0.087481,0.08407317085427132,0.0014092756954848004
ada,2019-06-04,0.071589,0.083076,0.07620629081632661,0.0023243660716018404
ada,2019-06-05,0.071197,0.075213,0.07375349999999997,0.0008218710096284501
ada,2019-06-06,0.069231,0.074494,0.07267938931297707,0.0013447167446137295
ada,2019-06-07,0.072176,0.077042,0.07500282089552245,0.0011592172551073302
ada,2019-06-08,0.072574,0.076228,0.0745671582914573,0.0008742376133478267
ada,2019-06-09,0.068999,0.074513,0.07239318575063601,0.0015977703018603387
ada,2019-06-10,0.068455,0.075183,0.07245514214463838,0.001830192635908325
ada,2019-06-11,0.072924,0.078668,0.07485846944444442,0.001423073588383685
ada,2019-06-12,0.076348,0.084329,0.08079271469740631,0.0023404002556491905
ada,2019-06-13,0.079517,0.085449,0.08239845038167941,0.0013886431817478437
ada,2019-06-14,0.076844,0.080835,0.07898241666666662,0.001066831587925167
ada,2019-06-15,0.078843,0.082535,0.08113630534351142,0.0005805088128779456
ada,2019-06-16,0.080721,0.083845,0.08184125628140698,0.0006304807845977394
ada,2019-06-17,0.081699,0.083428,0.08241204292929291,0.0003253286072612219
ada,2019-06-18,0.079477,0.083334,0.08119436666666675,0.0009805043346008454
ada,2019-06-19,0.079183,0.081716,0.08050435910224439,0.0005111259447481729
ada,2019-06-20,0.077179,0.080794,0.07882654336734694,0.0006850707904408013
ada,2019-06-21,0.077445,0.080395,0.07913853015075373,0.0006243706200659145
ada,2019-06-22,0.078197,0.085306,0.0810765126903553,0.0019249652303779323
ada,2019-06-23,0.082102,0.089032,0.08537788528678299,0.0015360403175584535
ada,2019-06-24,0.083089,0.087361,0.08487954198473281,0.0009694664091479931
ada,2019-06-25,0.082697,0.086462,0.0846829116161616,0.0008964230432621354
ada,2019-06-26,0.08362,0.093911,0.08776669521410577,0.0023082343356807004
ada,2019-06-27,0.074678,0.087077,0.0810205995024876,0.0037504456426811616
ada,2019-06-28,0.074838,0.078239,0.07660007616707624,0.000711214230846988
ada,2019-06-29,0.074829,0.080028,0.07706298019801985,0.0012669624778974147
ada,2019-06-30,0.073322,0.079914,0.07709349618320603,0.0017494722710248009
ada,2019-07-01,0.071148,0.075924,0.07384620448877804,0.0010433273136323789
ada,2019-07-02,0.068202,0.074607,0.0714113787878788,0.0014168168487078336
ada,2019-07-03,0.070648,0.073981,0.07245259600997501,0.0007488052138329253
ada,2019-07-04,0.070045,0.073355,0.07148170967741937,0.0006710173473741375
ada,2019-07-05,0.067614,0.071301,0.06908165413533839,0.0007649700049334086
ada,2019-07-06,0.067357,0.070778,0.0687609095477387,0.0007526739448096092
ada,2019-07-07,0.067378,0.071162,0.06886531297709919,0.000932443953529005
ada,2019-07-08,0.070268,0.073646,0.07157565063291138,0.0006631926802273743
ada,2019-07-09,0.068524,0.072092,0.07042974307304782,0.0008941753554142744
ada,2019-07-10,0.062242,0.070049,0.06712814393939397,0.00216432383053527
ada,2019-07-11,0.055978,0.064225,0.05951753615960095,0.0022762425790362716
ada,2019-07-12,0.056453,0.062781,0.05986695979899501,0.0016498247595054822
ada,2019-07-13,0.057866,0.062687,0.06052998500000001,0.0008826086334129217
ada,2019-07-14,0.053148,0.059817,0.05690491959798993,0.002145717296652487
ada,2019-07-15,0.0490193,0.055265,0.05144778216417912,0.001173078245832021
ada,2019-07-16,0.04564168,0.053051,0.0505905923558897,0.001968969390757214
ada,2019-07-17,0.04463858,0.051566,0.04782409808457714,0.0019758533503682206
ada,2019-07-18,0.04758999,0.052651,0.05053330287153658,0.0011986091264265092
ada,2019-07-19,0.04981473,0.052805,0.051479844382566566,0.0005735440123226126
ada,2019-07-20,0.052849,0.05797,0.05520974045801535,0.0014619951245961093
ada,2019-07-21,0.053154,0.057899,0.05515926302729528,0.0011600459733756923
ada,2019-07-22,0.052571,0.055368,0.0542228,0.0007715662897555679
ada,2019-07-23,0.04962822,0.053609,0.05183959683291774,0.0011624306786578748
ada,2019-07-24,0.04810929,0.051333,0.04927447808564231,0.0007265195857514641
ada,2019-07-25,0.0499522,0.053353,0.052500793481012664,0.0008511266835420181
