,City,State,Country,Update,Latitude,Longitude,Confirmed,Deaths,Recovered
0,,,Mainland China,2020-02-17 23:13:06,,,59989.0,1789.0,7862.0
1,,,Mainland China,2020-02-17 12:43:02,,,1322.0,4.0,524.0
2,,,Mainland China,2020-02-17 14:53:02,,,1246.0,16.0,509.0
3,,,Mainland China,2020-02-17 11:23:06,,,1171.0,0.0,507.0
4,,,Mainland China,2020-02-17 11:43:01,,,1006.0,3.0,498.0
5,,,Mainland China,2020-02-17 09:13:07,,,973.0,6.0,280.0
6,,,Mainland China,2020-02-17 01:33:02,,,930.0,1.0,275.0
7,,,Mainland China,2020-02-17 10:23:04,,,626.0,0.0,258.0
8,,,Mainland China,2020-02-17 23:13:06,,,553.0,5.0,225.0
9,,,Mainland China,2020-02-17 11:03:06,,,541.0,2.0,191.0
10,,,Mainland China,2020-02-17 13:13:09,,,495.0,3.0,156.0
11,,,Mainland China,2020-02-17 08:03:06,,,457.0,11.0,85.0
12,,,Others,2020-02-17 14:33:04,,,454.0,0.0,0.0
13,,,Mainland China,2020-02-17 01:23:02,,,381.0,4.0,114.0
14,,,Mainland China,2020-02-17 23:53:02,,,333.0,1.0,161.0
15,,,Mainland China,2020-02-17 13:03:06,,,301.0,3.0,122.0
16,,,Mainland China,2020-02-17 10:23:04,,,290.0,0.0,90.0
17,,,Mainland China,2020-02-17 11:43:01,,,240.0,0.0,79.0
18,,,Mainland China,2020-02-17 10:23:04,,,238.0,2.0,53.0
19,,,Mainland China,2020-02-17 10:23:04,,,171.0,0.0,47.0
20,,,Mainland China,2020-02-17 11:03:06,,,163.0,4.0,59.0
21,,,Mainland China,2020-02-17 11:13:16,,,146.0,1.0,57.0
22,,,Mainland China,2020-02-17 22:53:01,,,130.0,0.0,53.0
23,,,Mainland China,2020-02-17 12:43:02,,,125.0,3.0,46.0
24,,,Mainland China,2020-02-17 11:13:16,,,121.0,1.0,43.0
25,,,Mainland China,2020-02-17 14:53:02,,,91.0,2.0,58.0
26,,,Mainland China,2020-02-17 11:03:06,,,89.0,1.0,34.0
27,,,Singapore,2020-02-17 14:33:04,,,77.0,0.0,24.0
28,,,Mainland China,2020-02-17 01:53:01,,,75.0,1.0,12.0
29,,,Mainland China,2020-02-17 02:03:06,,,72.0,0.0,8.0
30,,,Mainland China,2020-02-17 11:03:06,,,70.0,0.0,35.0
31,,,Japan,2020-02-17 14:33:04,,,66.0,1.0,12.0
32,,,Hong Kong,2020-02-17 22:53:01,,,60.0,1.0,2.0
33,,,Thailand,2020-02-17 07:33:02,,,35.0,0.0,15.0
34,,,South Korea,2020-02-17 23:43:01,,,30.0,0.0,10.0
35,,,Malaysia,2020-02-15 23:43:02,,,22.0,0.0,7.0
36,,,Taiwan,2020-02-17 15:43:02,,,22.0,1.0,2.0
37,,,Mainland China,2020-02-15 08:43:03,,,18.0,0.0,13.0
38,,,Germany,2020-02-13 15:13:11,,,16.0,0.0,1.0
39,,,Vietnam,2020-02-13 06:33:02,,,16.0,0.0,7.0
40,,,France,2020-02-15 20:53:02,,,12.0,1.0,4.0
41,,,Macau,2020-02-16 12:03:06,,,10.0,0.0,5.0
42,,,UK,2020-02-16 16:23:06,,,9.0,0.0,8.0
43,,,United Arab Emirates,2020-02-16 20:43:02,,,9.0,0.0,4.0
44,,,Australia,2020-02-09 19:33:02,,,5.0,0.0,0.0
45,,,Canada,2020-02-17 08:03:07,,,5.0,0.0,0.0
46,,,Australia,2020-02-13 17:53:03,,,4.0,0.0,4.0
47,,,Australia,2020-02-13 17:53:03,,,4.0,0.0,4.0
48,,,India,2020-02-16 07:43:02,,,3.0,0.0,3.0
49,,,Italy,2020-02-07 17:53:02,,,3.0,0.0,0.0
50,,,Philippines,2020-02-12 07:43:02,,,3.0,1.0,1.0
51,,,Australia,2020-02-17 08:13:09,,,2.0,0.0,2.0
52,,,Canada,2020-02-04 00:13:06,,,2.0,0.0,0.0
53,,,Russia,2020-02-12 14:43:03,,,2.0,0.0,2.0
54,,,Spain,2020-02-15 17:23:04,,,2.0,0.0,2.0
55,,,US,2020-02-09 19:03:03,,,2.0,0.0,2.0
56,,,US,2020-02-03 03:53:02,,,2.0,0.0,0.0
57,,,US,2020-02-13 03:13:08,,,2.0,0.0,0.0
58,,,US,2020-02-03 00:43:02,,,2.0,0.0,0.0
59,,,Belgium,2020-02-17 04:23:06,,,1.0,0.0,1.0
60,,,Cambodia,2020-02-12 07:43:02,,,1.0,0.0,1.0
61,,,Canada,2020-02-12 18:53:03,,,1.0,0.0,1.0
62,,,Egypt,2020-02-14 23:53:02,,,1.0,0.0,0.0
63,,,Finland,2020-02-12 00:03:12,,,1.0,0.0,1.0
64,,,Mainland China,2020-02-12 06:43:02,,,1.0,0.0,1.0
65,,,Nepal,2020-02-12 14:43:03,,,1.0,0.0,1.0
66,,,Sri Lanka,2020-02-08 03:43:03,,,1.0,0.0,1.0
67,,,Sweden,2020-02-01 02:13:26,,,1.0,0.0,0.0
68,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
69,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
70,,,US,2020-02-05 21:53:02,,,1.0,0.0,0.0
71,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
72,,,US,2020-02-13 18:53:02,,,1.0,0.0,0.0
73,,,US,2020-02-09 07:03:04,,,1.0,0.0,1.0
74,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
75,,,Mainland China,2020-02-14 23:33:02,,,54406.0,1457.0,4774.0
76,,,Mainland China,2020-02-14 12:53:02,,,1261.0,2.0,362.0
77,,,Mainland China,2020-02-14 12:53:02,,,1184.0,11.0,357.0
78,,,Mainland China,2020-02-14 14:13:15,,,1155.0,0.0,403.0
79,,,Mainland China,2020-02-14 09:23:04,,,988.0,2.0,364.0
80,,,Mainland China,2020-02-14 12:53:02,,,934.0,6.0,193.0
81,,,Mainland China,2020-02-14 01:13:06,,,900.0,1.0,187.0
82,,,Mainland China,2020-02-14 10:03:03,,,593.0,0.0,157.0
83,,,Mainland China,2020-02-14 23:33:02,,,537.0,5.0,152.0
84,,,Mainland China,2020-02-14 11:13:22,,,523.0,2.0,136.0
85,,,Mainland China,2020-02-14 11:13:22,,,463.0,1.0,114.0
86,,,Mainland China,2020-02-14 13:23:07,,,419.0,11.0,47.0
87,,,Mainland China,2020-02-14 06:33:02,,,372.0,3.0,80.0
88,,,Mainland China,2020-02-14 04:13:11,,,318.0,1.0,90.0
89,,,Mainland China,2020-02-14 11:13:22,,,283.0,3.0,87.0
90,,,Mainland China,2020-02-14 11:13:22,,,281.0,0.0,63.0
91,,,Mainland China,2020-02-14 12:53:02,,,230.0,0.0,54.0
92,,,Mainland China,2020-02-14 15:23:02,,,226.0,2.0,36.0
93,,,Others,2020-02-14 00:13:23,,,218.0,0.0,0.0
94,,,Mainland China,2020-02-14 12:53:02,,,162.0,0.0,36.0
95,,,Mainland China,2020-02-14 15:23:02,,,159.0,4.0,43.0
96,,,Mainland China,2020-02-14 01:53:02,,,140.0,1.0,28.0
97,,,Mainland China,2020-02-14 23:23:04,,,127.0,0.0,38.0
98,,,Mainland China,2020-02-14 11:13:22,,,120.0,3.0,31.0
99,,,Mainland China,2020-02-14 15:23:02,,,119.0,1.0,29.0
100,,,Mainland China,2020-02-13 15:53:03,,,90.0,2.0,39.0
101,,,Mainland China,2020-02-14 00:43:02,,,86.0,1.0,25.0
102,,,Mainland China,2020-02-14 01:43:02,,,67.0,0.0,24.0
103,,,Singapore,2020-02-14 12:43:02,,,67.0,0.0,17.0
104,,,Mainland China,2020-02-14 02:03:08,,,65.0,0.0,6.0
105,,,Mainland China,2020-02-14 01:13:06,,,65.0,1.0,6.0
106,,,Hong Kong,2020-02-14 09:03:12,,,56.0,1.0,1.0
107,,,Thailand,2020-02-13 17:53:03,,,33.0,0.0,12.0
108,,,Japan,2020-02-14 03:53:02,,,29.0,1.0,9.0
109,,,South Korea,2020-02-12 14:43:03,,,28.0,0.0,7.0
110,,,Malaysia,2020-02-13 10:53:02,,,19.0,0.0,3.0
111,,,Mainland China,2020-02-13 08:43:08,,,18.0,0.0,11.0
112,,,Taiwan,2020-02-14 02:13:06,,,18.0,0.0,2.0
113,,,Germany,2020-02-13 15:13:11,,,16.0,0.0,1.0
114,,,Vietnam,2020-02-13 06:33:02,,,16.0,0.0,7.0
115,,,France,2020-02-12 18:53:02,,,11.0,0.0,2.0
116,,,Macau,2020-02-13 14:13:06,,,10.0,0.0,3.0
117,,,UK,2020-02-12 19:03:06,,,9.0,0.0,1.0
118,,,United Arab Emirates,2020-02-12 00:33:02,,,8.0,0.0,1.0
119,,,Australia,2020-02-09 19:33:02,,,5.0,0.0,0.0
120,,,Australia,2020-02-13 17:53:03,,,4.0,0.0,4.0
121,,,Australia,2020-02-13 17:53:03,,,4.0,0.0,4.0
122,,,Canada,2020-02-07 05:43:03,,,4.0,0.0,0.0
123,,,India,2020-02-13 18:53:02,,,3.0,0.0,0.0
124,,,Italy,2020-02-07 17:53:02,,,3.0,0.0,0.0
125,,,Philippines,2020-02-12 07:43:02,,,3.0,1.0,1.0
126,,,Australia,2020-02-02 22:33:07,,,2.0,0.0,0.0
127,,,Canada,2020-02-04 00:13:06,,,2.0,0.0,0.0
128,,,Russia,2020-02-12 14:43:03,,,2.0,0.0,2.0
129,,,Spain,2020-02-09 20:33:03,,,2.0,0.0,0.0
130,,,US,2020-02-09 19:03:03,,,2.0,0.0,2.0
131,,,US,2020-02-03 03:53:02,,,2.0,0.0,0.0
132,,,US,2020-02-13 03:13:08,,,2.0,0.0,0.0
133,,,US,2020-02-03 00:43:02,,,2.0,0.0,0.0
134,,,Belgium,2020-02-04 15:43:02,,,1.0,0.0,0.0
135,,,Cambodia,2020-02-12 07:43:02,,,1.0,0.0,1.0
136,,,Canada,2020-02-12 18:53:03,,,1.0,0.0,1.0
137,,,Egypt,2020-02-14 23:53:02,,,1.0,0.0,0.0
138,,,Finland,2020-02-12 00:03:12,,,1.0,0.0,1.0
139,,,Mainland China,2020-02-12 06:43:02,,,1.0,0.0,1.0
140,,,Nepal,2020-02-12 14:43:03,,,1.0,0.0,1.0
141,,,Sri Lanka,2020-02-08 03:43:03,,,1.0,0.0,1.0
142,,,Sweden,2020-02-01 02:13:26,,,1.0,0.0,0.0
143,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
144,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
145,,,US,2020-02-05 21:53:02,,,1.0,0.0,0.0
146,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
147,,,US,2020-02-13 18:53:02,,,1.0,0.0,0.0
148,,,US,2020-02-09 07:03:04,,,1.0,0.0,1.0
149,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
150,,,Mainland China,2020-02-08 23:33:06,,,27100.0,780.0,1439.0
151,,,Mainland China,2020-02-08 11:53:01,,,1095.0,1.0,112.0
