Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,200202,7804,0,192398,72,0,0,3.9,0.0,inf,199310,892,0.45,Eastern Mediterranean
Albania,332472,3589,0,328883,29,0,0,1.08,0.0,inf,332263,209,0.06,Europe
Algeria,270701,6881,0,263820,0,0,0,2.54,0.0,inf,270676,25,0.01,Africa
Andorra,46275,155,0,46120,0,0,0,0.33,0.0,inf,46227,48,0.1,Europe
Angola,103131,1917,0,101214,0,0,0,1.86,0.0,inf,103131,0,0.0,Africa
Anguilla (UK),3866,12,0,3854,0,0,0,0.31,0.0,inf,3865,1,0.03,Americas
Antarctica,11,0,0,11,0,0,0,0.0,0.0,0.0,11,0,0.0,
Antigua and Barbuda,9098,146,0,8952,0,0,0,1.6,0.0,inf,9098,0,0.0,Americas
Argentina,9711355,129937,0,9581418,0,0,0,1.34,0.0,inf,9708420,2935,0.03,Americas
Armenia,443785,8691,0,435094,0,0,0,1.96,0.0,inf,442875,910,0.21,Europe
Aruba (NL),44145,230,0,43915,0,0,0,0.52,0.0,inf,42970,1175,2.73,Americas
Australia,10276500,15369,0,10261131,819,0,0,0.15,0.0,inf,10240631,35869,0.35,Western Pacific
Austria,5239883,20823,0,5219060,13664,14,0,0.4,0.0,inf,5144116,95767,1.86,Europe
Azerbaijan,822104,9927,0,812177,77,0,0,1.21,0.0,inf,821532,572,0.07,Europe
Bahamas,37309,833,0,36476,0,0,0,2.23,0.0,inf,37290,19,0.05,Americas
Bahrain,683242,1520,0,681722,195,0,0,0.22,0.0,inf,680805,2437,0.36,Eastern Mediterranean
Bangladesh,2029314,29380,0,1999934,299,0,0,1.45,0.0,inf,2025677,3637,0.18,South-East Asia
Barbados,102580,560,0,102020,0,0,0,0.55,0.0,inf,102580,0,0.0,Americas
Belarus,994037,7118,0,986919,0,0,0,0.72,0.0,inf,994037,0,0.0,Europe
Belgium,4566207,32716,0,4533491,0,0,0,0.72,0.0,inf,4544505,21702,0.48,Europe
Belize,68884,686,0,68198,0,0,0,1.0,0.0,inf,68854,30,0.04,Americas
Benin,27782,163,0,27619,0,0,0,0.59,0.0,inf,27638,144,0.52,Africa
Bhutan,62095,21,0,62074,0,0,0,0.03,0.0,inf,61969,126,0.2,South-East Asia
Bolivia,1108648,22237,0,1086411,53,0,0,2.01,0.0,inf,1108316,332,0.03,Americas
Bosnia and Herzegovina,399071,16151,0,382920,0,0,0,4.05,0.0,inf,398750,321,0.08,Europe
Botswana,326329,2789,0,323540,0,0,0,0.85,0.0,inf,326308,21,0.01,Africa
Brazil,34707233,686706,0,34020527,0,0,0,1.98,0.0,inf,34672524,34709,0.1,Americas
British Virgin Islands (UK),7305,64,0,7241,0,0,0,0.88,0.0,inf,7305,0,0.0,Americas
Brunei,229665,225,0,229440,0,0,0,0.1,0.0,inf,227756,1909,0.84,Western Pacific
Bulgaria,1264615,37746,0,1226869,288,1,0,2.98,0.0,inf,1259769,4846,0.38,Europe
Burkina Faso,21631,387,0,21244,0,0,0,1.79,0.0,inf,21631,0,0.0,Africa
Burma,626262,19467,0,606795,389,1,0,3.11,0.0,inf,622802,3460,0.56,South-East Asia
Burundi,50225,38,0,50187,0,0,0,0.08,0.0,inf,50193,32,0.06,Africa
Cabo Verde,62387,410,0,61977,0,0,0,0.66,0.0,inf,62374,13,0.02,Africa
Cambodia,137921,3056,0,134865,9,0,0,2.22,0.0,inf,137881,40,0.03,Western Pacific
Cameroon,121652,1935,0,119717,0,0,0,1.59,0.0,inf,121652,0,0.0,Africa
Canada,4301362,45645,0,4255717,933,6,0,1.06,0.0,inf,4280148,21214,0.5,Americas
Cayman Islands (UK),30809,34,0,30775,0,0,0,0.11,0.0,inf,30661,148,0.48,Americas
Central African Republic,14957,113,0,14844,0,0,0,0.76,0.0,inf,14913,44,0.3,Africa
Chad,7590,193,0,7397,0,0,0,2.54,0.0,inf,7583,7,0.09,Africa
Chile,4649348,61306,0,4588042,3738,16,0,1.32,0.0,inf,4627923,21425,0.46,Americas
China,2799588,15447,0,2784141,7992,13,0,0.55,0.0,inf,2762150,37438,1.36,Western Pacific
Colombia,6308087,141807,0,6166280,0,0,0,2.25,0.0,inf,6307372,715,0.01,Americas
Comoros,8471,161,0,8310,0,0,0,1.9,0.0,inf,8471,0,0.0,Africa
Congo (Brazzaville),24837,386,0,24451,0,0,0,1.55,0.0,inf,24837,0,0.0,Africa
