date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200426,56,959056,4482023,4445,55030,95810,14831,2571,5121,227,91001,3366607a47755838aa443de309e7feb93d1b74b2,2020-04-26T20:00:00Z,49164,95810,5445524,5441079,5441079,1242,1067,229086,26814,255900
20200425,56,932242,4252937,5315,56312,94743,15020,2516,5266,227,88735,f1cb417044aeab224dfca4f2d6040ac7ea877230,2020-04-25T20:00:00Z,47922,94743,5190494,5185179,5185179,2188,1636,257402,40882,298284
20200424,56,891360,3995535,4396,56118,93107,15078,2468,5187,227,79248,10c3c4cefa607e89fc6dd932433b5afeb9cb3370,2020-04-24T20:00:00Z,45734,93107,4891291,4886895,4886895,1758,1999,194603,31541,226144
20200423,56,859819,3800932,4258,57879,91108,15163,2428,5464,227,61837,3e9d952cd55ba2bca85f52b62e2b3495d26898c5,2020-04-23T20:00:00Z,43976,91108,4665009,4660751,4660751,1883,5565,159700,31565,191265
20200422,56,828254,3641232,4191,58173,85543,15341,2370,5474,227,59809,26c6652730f2f240d86f89a6e658540f9622312d,2020-04-22T20:00:00Z,42093,85543,4473677,4469486,4469486,2110,1251,285950,27893,313843
20200421,56,800361,3355282,3956,58468,84292,15228,2315,5514,214,56407,5ea8a8165df3c5f47ab54d8378acdf24f6c24df0,2020-04-21T20:00:00Z,39983,84292,4159599,4155643,4155643,2667,1413,124255,27281,151536
20200420,56,773080,3231027,4037,55509,82879,14691,2193,5567,214,54438,8d15ac1d8fb57d63f579b51db1939d895e18f55f,2020-04-20T20:00:00Z,37316,82879,4008144,4004107,4004107,1532,1998,114366,23533,137899
20200419,56,749547,3116661,11324,55565,80881,14548,2145,5603,214,53630,480064c10420b693aad7d974b51ce8a2cc403a72,2020-04-19T20:00:00Z,35784,80881,3877532,3866208,3866208,1650,2042,140309,26923,167232
20200418,56,722624,2976352,9906,56575,78839,14788,2096,5729,205,51390,24c6ee3139b0be2d1a8b7145ca0c28416a4cdede,2020-04-18T20:00:00Z,34134,78839,3708882,3698976,3698976,1767,884,113379,27583,140962
20200417,56,695041,2862973,10889,57858,77955,14910,2052,6096,148,44139,d46a9e210836fc3c328f0506bffef700a5631420,2020-04-17T20:00:00Z,32367,77955,3568903,3558014,3558014,2067,3250,125169,31221,156390
20200416,56,663820,2737804,16927,58628,74705,15150,1834,5940,137,42032,eca36c00722d8e8e1d1dfb4ab759eec7f03d2e5d,2020-04-16T20:00:00Z,30300,74705,3418551,3401624,3401624,2130,5102,127705,30758,158463
20200415,56,633062,2610099,16901,59420,69603,14667,1783,6032,223,39405,2e5ef93d608738fd691406f7fc002e696bd1d3cf,2020-04-15T20:00:00Z,28170,69603,3260062,3243161,3243161,2476,2056,131186,30338,161524
20200414,56,602724,2478913,16615,58718,67547,14039,1715,5975,221,37645,7965ab8d920c81f004eb52da0c3f6649808517ec,2020-04-14T20:00:00Z,25694,67547,3098252,3081637,3081637,2307,4874,120681,25774,146455
20200413,56,576950,2358232,17159,55264,62673,13632,1628,6168,210,35442,f3f2681289ce4cc9aea0a2e1d439767dccbd14c7,2020-04-13T20:00:00Z,23387,62673,2952341,2935182,2935182,1450,1472,104166,24950,129116
20200412,56,552000,2254066,16419,52235,61201,13917,1455,5986,160,34151,6fc3272b73097aecf9e9c4a0da55f2a3a2e1197d,2020-04-12T20:00:00Z,21937,61201,2822485,2806066,2806066,1511,2652,111243,29219,140462
20200411,56,522781,2142823,16593,52250,58549,13563,1228,5978,41,31631,d4e963a7d25d8e24ed4cfcc85e0e1a1bdf799e7c,2020-04-11T20:00:00Z,20426,58549,2682197,2665604,2665604,1908,2207,106793,29879,136672
20200410,56,492902,2036030,17435,49310,56342,12698,1185,5937,41,29054,fbab8b017c703d29e0119d117d42ad6a5c9f66b3,2020-04-10T20:00:00Z,18518,56342,2546367,2528932,2528932,2081,4291,119310,34544,153854
20200409,56,458358,1916720,17622,47524,52051,12254,924,5794,39,24869,30469a29fc4bc7c34f53df439beefee775909479,2020-04-09T20:00:00Z,16437,52051,2392700,2375078,2375078,1882,3134,127920,34215,162135
20200408,56,424143,1788800,17219,41944,48917,9932,1013,4131,216,21141,4c5808eb223ef2c2ea0316ab6e117277158d1fcc,2020-04-08T20:00:00Z,14555,48917,2230162,2212943,2212943,1873,3417,109926,30171,140097
